,Name,Price,Rating,Number Of Rating,Number Of Reviews,Link
,,,,,,
0,"Infinix Hot 9 Pro (Violet, 64 GB)  (4 GB RAM)","10,499",4.5,"32,768 Ratings "," 2,525 Reviews",https://www.flipkart.com/infinix-hot-9-pro-violet-64-gb/p/itm1bc9e9eef4559?pid=MOBFQ3DPGYFSJ3SP&lid=LSTMOBFQ3DPGYFSJ3SPQ0HUL6&marketplace=FLIPKART&srno=b_1_1&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFQ3DPGYFSJ3SP.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
1,"Infinix Hot 9 (Quetzal Cyan, 64 GB)  (4 GB RAM)","9,499",4.5,"45,590 Ratings "," 2,964 Reviews",https://www.flipkart.com/infinix-hot-9-quetzal-cyan-64-gb/p/itm9d816e65b5dc4?pid=MOBFUXN5NCFVFXGQ&lid=LSTMOBFUXN5NCFVFXGQGL9G4Z&marketplace=FLIPKART&srno=b_1_2&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFUXN5NCFVFXGQ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
2,"Infinix Hot 9 Pro (Ocean Wave, 64 GB)  (4 GB RAM)","10,499",4.5,"32,768 Ratings "," 2,525 Reviews",https://www.flipkart.com/infinix-hot-9-pro-ocean-wave-64-gb/p/itm1bc9e9eef4559?pid=MOBFQ3DPHDM5RYKJ&lid=LSTMOBFQ3DPHDM5RYKJIF7Q7P&marketplace=FLIPKART&srno=b_1_3&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFQ3DPHDM5RYKJ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
3,"Infinix Smart 4 Plus (Midnight Black, 32 GB)  (3 GB RAM)","7,999",4.4,"35,135 Ratings "," 3,139 Reviews",https://www.flipkart.com/infinix-smart-4-plus-midnight-black-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBCSZ3QGJW&lid=LSTMOBFTGWBCSZ3QGJWRNJBND&marketplace=FLIPKART&srno=b_1_4&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFTGWBCSZ3QGJW.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
4,"Infinix Smart 4 Plus (Ocean Wave, 32 GB)  (3 GB RAM)","7,999",4.4,"35,135 Ratings "," 3,139 Reviews",https://www.flipkart.com/infinix-smart-4-plus-ocean-wave-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBPGDPZYGH&lid=LSTMOBFTGWBPGDPZYGH2E67R5&marketplace=FLIPKART&srno=b_1_5&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFTGWBPGDPZYGH.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
5,"Infinix Smart 4 Plus (Violet, 32 GB)  (3 GB RAM)","7,999",4.4,"35,135 Ratings "," 3,139 Reviews",https://www.flipkart.com/infinix-smart-4-plus-violet-32-gb/p/itmd387f45cb474a?pid=MOBFTGWBY7CAEUHG&lid=LSTMOBFTGWBY7CAEUHGGHK9LS&marketplace=FLIPKART&srno=b_1_6&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFTGWBY7CAEUHG.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
6,"Infinix Note 5 Stylus (Charcoal Blue, 64 GB)  (4 GB RAM)","16,999",3.9,"2,303 Ratings ", 330 Reviews,https://www.flipkart.com/infinix-note-5-stylus-charcoal-blue-64-gb/p/itmfb2byf2ghgesf?pid=MOBFB2BVN5YHYG8U&lid=LSTMOBFB2BVN5YHYG8UNKM1XU&marketplace=FLIPKART&srno=b_1_7&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFB2BVN5YHYG8U.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
7,"Infinix Note 5 Stylus (Bordeaux Red, 64 GB)  (4 GB RAM)","16,999",3.9,"2,303 Ratings ", 330 Reviews,https://www.flipkart.com/infinix-note-5-stylus-bordeaux-red-64-gb/p/itmfb2byf2ghgesf?pid=MOBFB2BVHAGGGBTH&lid=LSTMOBFB2BVHAGGGBTHIKIVXA&marketplace=FLIPKART&srno=b_1_8&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFB2BVHAGGGBTH.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
8,"Infinix Hot 9 (Violet, 64 GB)  (4 GB RAM)","9,499",4.5,"45,590 Ratings "," 2,965 Reviews",https://www.flipkart.com/infinix-hot-9-violet-64-gb/p/itm9d816e65b5dc4?pid=MOBFQ3DPMQHHTMBZ&lid=LSTMOBFQ3DPMQHHTMBZTNJSFM&marketplace=FLIPKART&srno=b_1_9&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFQ3DPMQHHTMBZ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
9,"Infinix Hot 9 (Ocean Wave, 64 GB)  (4 GB RAM)","9,499",4.5,"45,590 Ratings "," 2,964 Reviews",https://www.flipkart.com/infinix-hot-9-ocean-wave-64-gb/p/itm9d816e65b5dc4?pid=MOBFQ3DPNX8HYHBH&lid=LSTMOBFQ3DPNX8HYHBHRFL6NZ&marketplace=FLIPKART&srno=b_1_10&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFQ3DPNX8HYHBH.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
10,"Infinix S5 Pro (Sea Blue, 64 GB)  (4 GB RAM)","11,499",4.4,"19,850 Ratings "," 1,914 Reviews",https://www.flipkart.com/infinix-s5-pro-sea-blue-64-gb/p/itmff12bcc4ef407?pid=MOBFQ36BQN6U4DSS&lid=LSTMOBFQ36BQN6U4DSSLPCHND&marketplace=FLIPKART&srno=b_1_11&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFQ36BQN6U4DSS.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
11,"Infinix S5 Pro (Forest Green, 64 GB)  (4 GB RAM)","11,499",4.4,"19,850 Ratings "," 1,914 Reviews",https://www.flipkart.com/infinix-s5-pro-forest-green-64-gb/p/itmff12bcc4ef407?pid=MOBFZGMSGRHWN5YZ&lid=LSTMOBFZGMSGRHWN5YZ59O5YR&marketplace=FLIPKART&srno=b_1_12&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFZGMSGRHWN5YZ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
12,"Infinix S5 Pro (Violet, 64 GB)  (4 GB RAM)","11,499",4.4,"19,850 Ratings "," 1,914 Reviews",https://www.flipkart.com/infinix-s5-pro-violet-64-gb/p/itmff12bcc4ef407?pid=MOBFZGMSTYBKQQZY&lid=LSTMOBFZGMSTYBKQQZYWPYN21&marketplace=FLIPKART&srno=b_1_13&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFZGMSTYBKQQZY.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
13,"Infinix Note 5 (Berlin Gray, 32 GB)  (3 GB RAM)","7,599",4.2,"34,913 Ratings "," 5,925 Reviews",https://www.flipkart.com/infinix-note-5-berlin-gray-32-gb/p/itmf84r83q9zz8x6?pid=MOBF84R8KTMS8MHB&lid=LSTMOBF84R8KTMS8MHB2BGB44&marketplace=FLIPKART&srno=b_1_14&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF84R8KTMS8MHB.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
14,"Infinix Hot 8 (Cosmic Purple, 64 GB)  (4 GB RAM)","8,499",4.5,"2,51,383 Ratings "," 35,262 Reviews",https://www.flipkart.com/infinix-hot-8-cosmic-purple-64-gb/p/itm176568dde7f63?pid=MOBFJJJV9QB8P4EU&lid=LSTMOBFJJJV9QB8P4EURBGGNV&marketplace=FLIPKART&srno=b_1_15&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFJJJV9QB8P4EU.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
15,"Infinix Hot 8 (Quetzal Cyan, 64 GB)  (4 GB RAM)","8,499",4.5,"2,51,383 Ratings "," 35,262 Reviews",https://www.flipkart.com/infinix-hot-8-quetzal-cyan-64-gb/p/itm176568dde7f63?pid=MOBFJJJVH6QYNE3P&lid=LSTMOBFJJJVH6QYNE3PL86ZA6&marketplace=FLIPKART&srno=b_1_16&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFJJJVH6QYNE3P.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
16,"Infinix Hot 8 (Shark Grey, 64 GB)  (4 GB RAM)","8,499",4.5,"2,51,383 Ratings "," 35,262 Reviews",https://www.flipkart.com/infinix-hot-8-shark-grey-64-gb/p/itm176568dde7f63?pid=MOBFJJJVUFPVBAGC&lid=LSTMOBFJJJVUFPVBAGC5GJHX2&marketplace=FLIPKART&srno=b_1_17&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFJJJVUFPVBAGC.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
17,"Infinix Hot S3X (Aqua Blue, 32 GB)  (3 GB RAM)","10,999",4.2,"17,204 Ratings "," 2,590 Reviews",https://www.flipkart.com/infinix-hot-s3x-aqua-blue-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QKZSKT73X&lid=LSTMOBF9V6QKZSKT73XGBDDCN&marketplace=FLIPKART&srno=b_1_18&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF9V6QKZSKT73X.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
18,"Infinix Hot S3X (Tradew Gray, 32 GB)  (3 GB RAM)","10,999",4.2,"17,204 Ratings "," 2,590 Reviews",https://www.flipkart.com/infinix-hot-s3x-tradew-gray-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QY25HUTHX&lid=LSTMOBF9V6QY25HUTHXRDMWBM&marketplace=FLIPKART&srno=b_1_19&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF9V6QY25HUTHX.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
19,"Infinix Hot S3X (Milan Black, 32 GB)  (3 GB RAM)","10,999",4.2,"17,204 Ratings "," 2,590 Reviews",https://www.flipkart.com/infinix-hot-s3x-milan-black-32-gb/p/itmfaqv6agscjwyx?pid=MOBF9V6QYJDGYW3W&lid=LSTMOBF9V6QYJDGYW3WUF6NPL&marketplace=FLIPKART&srno=b_1_20&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF9V6QYJDGYW3W.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
20,"Infinix Smart 2 (Bordeaux Red, 32 GB)  (3 GB RAM)","7,999",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-bordeaux-red-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YPXCRJ8UJ&lid=LSTMOBF7F4YPXCRJ8UJCCVYAG&marketplace=FLIPKART&srno=b_1_21&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YPXCRJ8UJ.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
21,"Infinix Hot 7 (Midnight Black, 64 GB)  (4 GB RAM)","9,999",4.2,"26,135 Ratings "," 3,482 Reviews",https://www.flipkart.com/infinix-hot-7-midnight-black-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDJABWUVCV&lid=LSTMOBFHVQDJABWUVCVLRYA3F&marketplace=FLIPKART&srno=b_1_22&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBFHVQDJABWUVCV.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
22,"Infinix Smart 2 (Sandstone Black, 32 GB)  (3 GB RAM)","7,499",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-sandstone-black-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YZEJZGYTB&lid=LSTMOBF7F4YZEJZGYTBQYYUWE&marketplace=FLIPKART&srno=b_1_23&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YZEJZGYTB.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
23,"Infinix Smart 2 (Serene Gold, 32 GB)  (3 GB RAM)","7,499",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-serene-gold-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YZVCTAWYU&lid=LSTMOBF7F4YZVCTAWYUKWVFH4&marketplace=FLIPKART&srno=b_1_24&otracker=browse&fm=organic&iid=d4959cb4-9b43-4ca5-a01a-f15fe4a6f967.MOBF7F4YZVCTAWYU.SEARCH&ssid=kwtj2t1slc0000001599323466717
,,,,,,
24,"Infinix Smart 3 Plus (Sapphire Cyan, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-sapphire-cyan-32-gb/p/itmffnu4txbsjzem?pid=MOBFFNU4JG5YHMFG&lid=LSTMOBFFNU4JG5YHMFGFH6JJZ&marketplace=FLIPKART&srno=b_2_25&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFFNU4JG5YHMFG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
25,"Infinix S4 (Space Gray, 32 GB)  (3 GB RAM)","9,599",4.2,"27,885 Ratings "," 3,929 Reviews",https://www.flipkart.com/infinix-s4-space-gray-32-gb/p/itmfgju8hzamxzxx?pid=MOBFGJU8V3JMCZ5Z&lid=LSTMOBFGJU8V3JMCZ5ZWBXFD1&marketplace=FLIPKART&srno=b_2_26&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGJU8V3JMCZ5Z.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
26,"Infinix S4 (Space Gray, 64 GB)  (4 GB RAM)","9,599",4.2,"22,415 Ratings "," 2,813 Reviews",https://www.flipkart.com/infinix-s4-space-gray-64-gb/p/itmfgzqqkgqgttyh?pid=MOBFGZQQDHTNY368&lid=LSTMOBFGZQQDHTNY368IOHGID&marketplace=FLIPKART&srno=b_2_27&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGZQQDHTNY368.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
27,"Infinix Note 5 (Milan Black, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-milan-black-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R8QJMU6KTF&lid=LSTMOBF84R8QJMU6KTFQKE6EC&marketplace=FLIPKART&srno=b_2_28&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R8QJMU6KTF.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
28,"Infinix Smart 3 Plus (Midnight Black, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-midnight-black-32-gb/p/itmffnu4txbsjzem?pid=MOBFFNU4KDGYPHQY&lid=LSTMOBFFNU4KDGYPHQYZCOIPL&marketplace=FLIPKART&srno=b_2_29&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFFNU4KDGYPHQY.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
29,"Infinix Smart 3 Plus (Mocha Brown, 32 GB)  (2 GB RAM)","7,499",4.2,"78,039 Ratings "," 10,486 Reviews",https://www.flipkart.com/infinix-smart-3-plus-mocha-brown-32-gb/p/itmffnu4txbsjzem?pid=MOBFGAYY4YXPXYCW&lid=LSTMOBFGAYY4YXPXYCWSH6OMB&marketplace=FLIPKART&srno=b_2_30&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGAYY4YXPXYCW.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
30,"Infinix S5 Lite (Quetzal Cyan, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-quetzal-cyan-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BFB83S7H6&lid=LSTMOBFHW8BFB83S7H6MFEDJ7&marketplace=FLIPKART&srno=b_2_31&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BFB83S7H6.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
31,"Infinix S5 Lite (Violet, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-violet-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BDG7SSK2W&lid=LSTMOBFHW8BDG7SSK2WL0N3GO&marketplace=FLIPKART&srno=b_2_32&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BDG7SSK2W.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
32,"Infinix S5 Lite (Midnight Black, 64 GB)  (4 GB RAM)","8,499",4.3,"37,870 Ratings "," 4,082 Reviews",https://www.flipkart.com/infinix-s5-lite-midnight-black-64-gb/p/itm8d3bbd7115184?pid=MOBFHW8BMTNZZ23D&lid=LSTMOBFHW8BMTNZZ23D98CIIO&marketplace=FLIPKART&srno=b_2_33&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHW8BMTNZZ23D.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
33,"Infinix Hot S3 (Blush Gold, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-blush-gold-64-gb/p/itmf4uxphfrfekdt?pid=MOBF22VTNWHZMPTV&lid=LSTMOBF22VTNWHZMPTV458BGO&marketplace=FLIPKART&srno=b_2_34&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTNWHZMPTV.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
34,"Infinix Hot S3 (Sandstone Black, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-sandstone-black-64-gb/p/itmf4uxphfrfekdt?pid=MOBF22VTZGFZFGNR&lid=LSTMOBF22VTZGFZFGNRUCHRTL&marketplace=FLIPKART&srno=b_2_35&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTZGFZFGNR.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
35,"Infinix Hot S3 (Topaz Blue, 64 GB)  (4 GB RAM)","11,999",4.1,"11,201 Ratings "," 2,407 Reviews",https://www.flipkart.com/infinix-hot-s3-topaz-blue-64-gb/p/itmf4uxphfrfekdt?pid=MOBF3S32CBQWWHZK&lid=LSTMOBF3S32CBQWWHZKKMQJFE&marketplace=FLIPKART&srno=b_2_36&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32CBQWWHZK.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
