,Name,Price,Rating,Number Of Rating,Number Of Reviews,Link
36,"Infinix Zero 5 (Champagne Gold, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-champagne-gold-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MYZJMZU9E&lid=LSTMOBEZM2MYZJMZU9EC14LHC&marketplace=FLIPKART&srno=b_2_37&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MYZJMZU9E.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
37,"Infinix Zero 5 (Sandstone Black, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-sandstone-black-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MBXVMXBY7&lid=LSTMOBEZM2MBXVMXBY7EEA3EP&marketplace=FLIPKART&srno=b_2_38&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MBXVMXBY7.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
38,"Infinix Zero 5 (Bordeaux Red, 64 GB)  (6 GB RAM)","17,999",4.2,"8,330 Ratings "," 2,225 Reviews",https://www.flipkart.com/infinix-zero-5-bordeaux-red-64-gb/p/itmeznc8n7msbg7x?pid=MOBEZM2MBFGMSZWH&lid=LSTMOBEZM2MBFGMSZWHQ2VB9F&marketplace=FLIPKART&srno=b_2_39&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEZM2MBFGMSZWH.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
39,"Infinix S4 (Twilight Purple, 32 GB)  (3 GB RAM)","9,599",4.2,"27,885 Ratings "," 3,929 Reviews",https://www.flipkart.com/infinix-s4-twilight-purple-32-gb/p/itmfgju8hzamxzxx?pid=MOBFGJU8NKGEQ2HR&lid=LSTMOBFGJU8NKGEQ2HRNXMXGP&marketplace=FLIPKART&srno=b_2_40&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFGJU8NKGEQ2HR.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
40,"Infinix Hot 7 (Aqua Blue, 64 GB)  (4 GB RAM)","9,999",4.2,"26,135 Ratings "," 3,482 Reviews",https://www.flipkart.com/infinix-hot-7-aqua-blue-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDF8GUHTH3&lid=LSTMOBFHVQDF8GUHTH3AK9BBG&marketplace=FLIPKART&srno=b_2_41&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBFHVQDF8GUHTH3.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
41,"Infinix Note 5 (Ice Blue, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-ice-blue-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R8XBBNSGYQ&lid=LSTMOBF84R8XBBNSGYQV8OTHD&marketplace=FLIPKART&srno=b_2_42&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R8XBBNSGYQ.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
42,"Infinix Hot S3 (Sandstone Black, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-sandstone-black-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTC5PCHKDB&lid=LSTMOBF22VTC5PCHKDBJK9REU&marketplace=FLIPKART&srno=b_2_43&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTC5PCHKDB.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
43,"Infinix Hot S3 (Blush Gold, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-blush-gold-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF22VTWZVGR8GG&lid=LSTMOBF22VTWZVGR8GGHZPOBX&marketplace=FLIPKART&srno=b_2_44&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF22VTWZVGR8GG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
44,"Infinix Hot S3 (Bordeaux Red, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-bordeaux-red-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF3S32F25UHP5S&lid=LSTMOBF3S32F25UHP5SROQS8M&marketplace=FLIPKART&srno=b_2_45&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32F25UHP5S.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
45,"Infinix Hot S3 (Topaz Blue, 32 GB)  (3 GB RAM)","9,999",4.2,"51,864 Ratings "," 11,922 Reviews",https://www.flipkart.com/infinix-hot-s3-topaz-blue-32-gb/p/itmf5fhmgpg3mzuj?pid=MOBF3S32SGYWWYM6&lid=LSTMOBF3S32SGYWWYM6YDSJMU&marketplace=FLIPKART&srno=b_2_46&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF3S32SGYWWYM6.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
46,"Infinix Note 4 (Milan Black, 32 GB)  (3 GB RAM)","8,999",4.2,"62,546 Ratings "," 17,187 Reviews",https://www.flipkart.com/infinix-note-4-milan-black-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UPGQHFJXG&lid=LSTMOBEWF3UPGQHFJXG2BIN4U&marketplace=FLIPKART&srno=b_2_47&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBEWF3UPGQHFJXG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
47,"Infinix Note 5 (Berlin Gray, 64 GB)  (4 GB RAM)","7,699",4.2,"8,266 Ratings "," 1,112 Reviews",https://www.flipkart.com/infinix-note-5-berlin-gray-64-gb/p/itmf84r8hrdzuzvf?pid=MOBF84R89ECB9GZG&lid=LSTMOBF84R89ECB9GZGRH03O0&marketplace=FLIPKART&srno=b_2_48&otracker=browse&fm=organic&iid=422e3eaa-b3a1-492e-947b-9f9f43c20943.MOBF84R89ECB9GZG.SEARCH&ssid=3hk9kbf6mo0000001599323471600
,,,,,,
48,"Infinix Zero 5 Pro (Bronze Gold Black, 128 GB)  (6 GB RAM)","19,999",4.3,"3,160 Ratings ", 909 Reviews,https://www.flipkart.com/infinix-zero-5-pro-bronze-gold-black-128-gb/p/itmezm2mt2jt9nqj?pid=MOBEZM2MX87HCSJE&lid=LSTMOBEZM2MX87HCSJESBLDYJ&marketplace=FLIPKART&srno=b_3_49&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEZM2MX87HCSJE.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
49,"Infinix S4 (Twilight Purple, 64 GB)  (4 GB RAM)","9,599",4.2,"22,415 Ratings "," 2,813 Reviews",https://www.flipkart.com/infinix-s4-twilight-purple-64-gb/p/itmfgzqqkgqgttyh?pid=MOBFGZQQFK2HY4MN&lid=LSTMOBFGZQQFK2HY4MNQPOAJN&marketplace=FLIPKART&srno=b_3_50&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFGZQQFK2HY4MN.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
50,"Infinix S4 (Nebula Blue, 64 GB)  (4 GB RAM)","9,599",4.2,"22,415 Ratings "," 2,813 Reviews",https://www.flipkart.com/infinix-s4-nebula-blue-64-gb/p/itmfgzqqkgqgttyh?pid=MOBFGZQQKDZGMKQQ&lid=LSTMOBFGZQQKDZGMKQQFRL7VV&marketplace=FLIPKART&srno=b_3_51&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFGZQQKDZGMKQQ.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
51,"Infinix Note 4 (Ice Blue, 32 GB)  (3 GB RAM)","8,999",4.2,"62,546 Ratings "," 17,187 Reviews",https://www.flipkart.com/infinix-note-4-ice-blue-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UCTQT3M6G&lid=LSTMOBEWF3UCTQT3M6GJ3ADXL&marketplace=FLIPKART&srno=b_3_52&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEWF3UCTQT3M6G.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
52,"Infinix Note 4 (Champagne Gold, 32 GB)  (3 GB RAM)","8,999",4.2,"62,546 Ratings "," 17,187 Reviews",https://www.flipkart.com/infinix-note-4-champagne-gold-32-gb/p/itmewf3utfdfh3nf?pid=MOBEWF3UK5RQZJRA&lid=LSTMOBEWF3UK5RQZJRAOKPDKP&marketplace=FLIPKART&srno=b_3_53&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEWF3UK5RQZJRA.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
53,"Infinix Hot 4 Pro (Quartz Black, 16 GB)  (3 GB RAM)","7,499",4,"59,335 Ratings "," 13,484 Reviews",https://www.flipkart.com/infinix-hot-4-pro-quartz-black-16-gb/p/itmeuyd9kzvzmyx6?pid=MOBEUF42VHXZSQV7&lid=LSTMOBEUF42VHXZSQV7YTF2IS&marketplace=FLIPKART&srno=b_3_54&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEUF42VHXZSQV7.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
54,"Infinix Hot 4 Pro (Bordeaux Red, 16 GB)  (3 GB RAM)","7,499",4,"59,335 Ratings "," 13,484 Reviews",https://www.flipkart.com/infinix-hot-4-pro-bordeaux-red-16-gb/p/itmeuyd9kzvzmyx6?pid=MOBEUF424KXTP9CT&lid=LSTMOBEUF424KXTP9CTEDER40&marketplace=FLIPKART&srno=b_3_55&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEUF424KXTP9CT.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
55,"Infinix Hot 4 Pro (Magic Gold, 16 GB)  (3 GB RAM)","7,499",4,"59,335 Ratings "," 13,484 Reviews",https://www.flipkart.com/infinix-hot-4-pro-magic-gold-16-gb/p/itmeuyd9kzvzmyx6?pid=MOBEUF42PGDRYCQA&lid=LSTMOBEUF42PGDRYCQAXSRZKD&marketplace=FLIPKART&srno=b_3_56&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBEUF42PGDRYCQA.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
56,"Infinix Smart 2 (City Blue, 16 GB)  (2 GB RAM)","6,999",4.1,"69,752 Ratings "," 9,408 Reviews",https://www.flipkart.com/infinix-smart-2-city-blue-16-gb/p/itmf7f4yrzxdvv6p?pid=MOBF7F4Y6YWJ7R7Z&lid=LSTMOBF7F4Y6YWJ7R7ZWW8U0L&marketplace=FLIPKART&srno=b_3_57&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF7F4Y6YWJ7R7Z.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
57,"Infinix Smart 2 (Bordeaux Red, 16 GB)  (2 GB RAM)","6,999",4.1,"69,752 Ratings "," 9,408 Reviews",https://www.flipkart.com/infinix-smart-2-bordeaux-red-16-gb/p/itmf7f4yrzxdvv6p?pid=MOBF7F4YHK2VJUES&lid=LSTMOBF7F4YHK2VJUESHI5PTQ&marketplace=FLIPKART&srno=b_3_58&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF7F4YHK2VJUES.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
58,"Infinix Smart 2 (Sandstone Black, 16 GB)  (2 GB RAM)","6,399",4.1,"69,752 Ratings "," 9,408 Reviews",https://www.flipkart.com/infinix-smart-2-sandstone-black-16-gb/p/itmf7f4yrzxdvv6p?pid=MOBF7F4Y98FUDA5G&lid=LSTMOBF7F4Y98FUDA5G8BYSL1&marketplace=FLIPKART&srno=b_3_59&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF7F4Y98FUDA5G.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
59,"Infinix Smart 2 (Serene Gold, 16 GB)  (2 GB RAM)","6,999",4.1,"69,752 Ratings "," 9,408 Reviews",https://www.flipkart.com/infinix-smart-2-serene-gold-16-gb/p/itmf7f4yrzxdvv6p?pid=MOBF7F4YTP3KGYYR&lid=LSTMOBF7F4YTP3KGYYRD1FP3V&marketplace=FLIPKART&srno=b_3_60&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF7F4YTP3KGYYR.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
60,"Infinix Note 5 (Milan Black, 32 GB)  (3 GB RAM)","7,599",4.2,"34,913 Ratings "," 5,925 Reviews",https://www.flipkart.com/infinix-note-5-milan-black-32-gb/p/itmf84r83q9zz8x6?pid=MOBF84R8UBGBHBWA&lid=LSTMOBF84R8UBGBHBWAXQ30L6&marketplace=FLIPKART&srno=b_3_61&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF84R8UBGBHBWA.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
61,"Infinix Hot 7 Pro (Midnight Black, 64 GB)  (6 GB RAM)","10,999",4.2,"10,296 Ratings "," 1,599 Reviews",https://www.flipkart.com/infinix-hot-7-pro-midnight-black-64-gb/p/itmfhbn55zpghhgm?pid=MOBFHBN5CNZHNGRN&lid=LSTMOBFHBN5CNZHNGRNMHEZKF&marketplace=FLIPKART&srno=b_3_62&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHBN5CNZHNGRN.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
62,"Infinix Hot 7 Pro (Aqua Blue, 64 GB)  (6 GB RAM)","10,999",4.2,"10,296 Ratings "," 1,599 Reviews",https://www.flipkart.com/infinix-hot-7-pro-aqua-blue-64-gb/p/itmfhbn55zpghhgm?pid=MOBFHBN5HGGGD2YS&lid=LSTMOBFHBN5HGGGD2YSCMOQIQ&marketplace=FLIPKART&srno=b_3_63&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHBN5HGGGD2YS.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
63,"Infinix Hot 7 Pro (Mocha Brown, 64 GB)  (6 GB RAM)","10,999",4.2,"10,296 Ratings "," 1,599 Reviews",https://www.flipkart.com/infinix-hot-7-pro-mocha-brown-64-gb/p/itmfhbn55zpghhgm?pid=MOBFHCXRTAUDWTHP&lid=LSTMOBFHCXRTAUDWTHPGJKZWF&marketplace=FLIPKART&srno=b_3_64&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHCXRTAUDWTHP.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
64,"Infinix S5 (Violet, 64 GB)  (4 GB RAM)","9,599",4.3,"14,955 Ratings "," 2,140 Reviews",https://www.flipkart.com/infinix-s5-violet-64-gb/p/itm72d6b9a1d7b36?pid=MOBFHF96ZKF2UXGM&lid=LSTMOBFHF96ZKF2UXGM4LITSJ&marketplace=FLIPKART&srno=b_3_65&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHF96ZKF2UXGM.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
65,"Infinix S5 (Quetzal Cyan, 64 GB)  (4 GB RAM)","9,599",4.3,"14,955 Ratings "," 2,140 Reviews",https://www.flipkart.com/infinix-s5-quetzal-cyan-64-gb/p/itm72d6b9a1d7b36?pid=MOBFHF9694QVDZMK&lid=LSTMOBFHF9694QVDZMKGNLKCF&marketplace=FLIPKART&srno=b_3_66&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHF9694QVDZMK.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
66,"Infinix HOT 6 Pro (Bordeaux Red, 32 GB)  (3 GB RAM)","8,999",4.3,"25,710 Ratings "," 4,928 Reviews",https://www.flipkart.com/infinix-hot-6-pro-bordeaux-red-32-gb/p/itmf5zzvagf8er6f?pid=MOBF5ZZVAFFD7ZHZ&lid=LSTMOBF5ZZVAFFD7ZHZDAFIMC&marketplace=FLIPKART&srno=b_3_67&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF5ZZVAFFD7ZHZ.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
67,"Infinix HOT 6 Pro (Sandstone Black, 32 GB)  (3 GB RAM)","8,999",4.3,"25,710 Ratings "," 4,928 Reviews",https://www.flipkart.com/infinix-hot-6-pro-sandstone-black-32-gb/p/itmf5zzvagf8er6f?pid=MOBF5ZZVQMFWANGV&lid=LSTMOBF5ZZVQMFWANGVH3C7T8&marketplace=FLIPKART&srno=b_3_68&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF5ZZVQMFWANGV.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
68,"Infinix HOT 6 Pro (Magic Gold, 32 GB)  (3 GB RAM)","8,999",4.3,"25,710 Ratings "," 4,928 Reviews",https://www.flipkart.com/infinix-hot-6-pro-magic-gold-32-gb/p/itmf5zzvagf8er6f?pid=MOBF5ZZVC5A2SPFG&lid=LSTMOBF5ZZVC5A2SPFGDPSVOM&marketplace=FLIPKART&srno=b_3_69&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF5ZZVC5A2SPFG.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
69,"Infinix HOT 6 Pro (City Blue, 32 GB)  (3 GB RAM)","8,999",4.3,"25,710 Ratings "," 4,928 Reviews",https://www.flipkart.com/infinix-hot-6-pro-city-blue-32-gb/p/itmf5zzvagf8er6f?pid=MOBF5ZZVYCUFJ9NQ&lid=LSTMOBF5ZZVYCUFJ9NQVUHL6A&marketplace=FLIPKART&srno=b_3_70&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF5ZZVYCUFJ9NQ.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
70,"Infinix Note 5 (Ice Blue, 32 GB)  (3 GB RAM)","7,599",4.2,"34,913 Ratings "," 5,925 Reviews",https://www.flipkart.com/infinix-note-5-ice-blue-32-gb/p/itmf84r83q9zz8x6?pid=MOBF84R8BZYUNJH9&lid=LSTMOBF84R8BZYUNJH9SILR7I&marketplace=FLIPKART&srno=b_3_71&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBF84R8BZYUNJH9.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
71,"Infinix Hot 7 (Mocha Brown, 64 GB)  (4 GB RAM)","9,999",4.2,"26,135 Ratings "," 3,482 Reviews",https://www.flipkart.com/infinix-hot-7-mocha-brown-64-gb/p/itmfhvqduy3nrcuu?pid=MOBFHVQDZYFGSFJT&lid=LSTMOBFHVQDZYFGSFJTYH3SYL&marketplace=FLIPKART&srno=b_3_72&otracker=browse&fm=organic&iid=039c1453-6b2c-4a4c-90d1-9d619a18539f.MOBFHVQDZYFGSFJT.SEARCH&ssid=meq5zxa3pc0000001599323473901
,,,,,,
72,"Infinix Smart 2 (City Blue, 32 GB)  (3 GB RAM)","7,499",4,"35,635 Ratings "," 4,021 Reviews",https://www.flipkart.com/infinix-smart-2-city-blue-32-gb/p/itmf7wy6w29wymyp?pid=MOBF7F4YFP4DZHWG&lid=LSTMOBF7F4YFP4DZHWG8PGVME&marketplace=FLIPKART&srno=b_4_73&otracker=browse&fm=organic&iid=d98764d7-ccf3-4bda-86cd-7fa9bd504648.MOBF7F4YFP4DZHWG.SEARCH&ssid=pnkgta36cg0000001599323476116
,,,,,,
73,"Infinix S4 (Nebula Blue, 32 GB)  (3 GB RAM)","9,599",4.2,"27,885 Ratings "," 3,929 Reviews",https://www.flipkart.com/infinix-s4-nebula-blue-32-gb/p/itmfgju8hzamxzxx?pid=MOBFGJU8VTGQ9KD6&lid=LSTMOBFGJU8VTGQ9KD6OSXKAA&marketplace=FLIPKART&srno=b_4_74&otracker=browse&fm=organic&iid=d98764d7-ccf3-4bda-86cd-7fa9bd504648.MOBFGJU8VTGQ9KD6.SEARCH&ssid=pnkgta36cg0000001599323476116
